acct_num,loan_type,cust_type,age,tot_income,tern,balance,net_due,security_code,bal_after_ref,net_due_renewed,fico,bni,cr_limit,agg_net_bal,date_opened,pmt,dti,is_bad
1859,15,1,59,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/24/2017,$94.30,0,0
1860,1,2,73,"$1,485.00",18,"$2,095.44",$637.57,10,"$1,261.73","$1,899.30",677,274,"$3,000.00","$1,944.30",11/24/2017,$140.00,63.03,0
1861,1,2,44,"$1,547.00",15,"$1,451.67","$1,027.07",10,$274.37,"$1,301.44",638,208,"$2,000.00","$1,231.44",11/24/2017,$115.00,34.39,0
1862,70,1,26,"$2,900.00",24,"$1,033.98","$1,033.98",10,$0.00,"$1,033.98",541,256,$500.00,"$1,033.98",11/24/2017,$54.66,34.69,0
1863,1,2,42,$653.00,15,"$1,518.33",$514.15,10,$847.98,"$1,362.13",619,253,$500.00,"$1,407.13",11/24/2017,$120.00,51,0
1865,70,1,31,"$3,000.00",36,"$2,840.46","$2,840.46",10,$0.00,"$2,840.46",674,379,"$4,000.00","$2,840.46",11/27/2017,$111.42,1.5,0
1867,1,3,58,$851.00,15,"$1,251.67","$1,011.52",10,$0.00,"$1,011.52",712,316,$500.00,"$1,164.52",11/27/2017,$100.00,11.16,0
1868,1,2,43,"$1,456.26",9,$744.27,$384.57,10,$274.39,$658.96,549,234,$500.00,$683.96,11/27/2017,$95.00,42.3,0
1869,1,2,70,"$1,600.00",18,"$1,688.48",$465.42,10,"$1,041.35","$1,506.77",594,128,"$1,500.00","$1,551.77",11/27/2017,$114.00,68.56,0
1870,15,1,34,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/27/2017,$94.30,0,0
1871,15,1,36,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/27/2017,$94.30,0,0
1872,1,2,24,"$1,850.33",9,$663.37,$417.16,10,$179.02,$596.18,629,269,"$1,500.00",$641.18,11/28/2017,$85.00,19.24,0
1873,1,2,62,$735.00,15,"$1,051.67",$349.13,10,$588.27,$937.40,605,245,$500.00,$982.40,11/27/2017,$85.00,41.77,0
1876,15,1,36,$0.00,18,"$2,220.00",$0.00,15,$0.00,$0.00,0,0,"$2,500.00","$2,125.00",11/28/2017,$152.65,0,0
1877,15,1,35,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/28/2017,$94.30,0,0
1878,2,2,52,"$7,172.00",24,"$6,538.88","$2,504.63",10,"$3,182.67","$5,687.30",735,245,"$5,000.00","$5,732.30",11/28/2017,$335.00,56.51,0
1879,15,1,43,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/28/2017,$94.30,0,0
1880,15,1,47,$0.00,18,"$2,220.00",$0.00,15,$0.00,$0.00,0,0,"$2,500.00","$2,125.00",11/28/2017,$152.65,0,0
1882,1,1,51,$490.00,12,$646.96,$578.19,10,$0.00,$578.19,533,228,$500.00,$623.19,11/28/2017,$65.00,17.35,0
1883,2,2,24,"$3,018.38",36,"$3,927.19","$3,003.53",15,$418.84,"$3,422.37",681,296,"$5,000.00","$3,447.37",11/28/2017,$146.00,51.19,0
1884,1,2,36,$947.82,15,$958.33,$508.48,10,$300.21,$808.69,524,124,$0.00,$853.69,11/28/2017,$78.00,50.01,0
1885,1,2,65,"$6,439.96",18,"$2,017.18","$1,001.06",10,$803.16,"$1,804.22",615,146,$500.00,"$1,849.22",11/30/2017,$135.00,14.05,0
1886,1,3,48,"$1,654.31",15,$985.00,$551.66,10,$335.00,$886.66,498,139,$500.00,$931.66,11/30/2017,$80.00,60.93,0
1888,1,2,63,$971.00,15,"$1,051.67",$324.09,10,$613.45,$937.54,482,198,$0.00,$982.54,11/30/2017,$85.00,57.88,0
1889,1,2,55,"$2,659.87",18,"$2,397.02","$1,011.95",10,"$1,180.17","$2,192.12",544,182,$500.00,"$2,237.12",11/30/2017,$170.00,7.29,0
1890,70,1,42,"$3,900.00",48,"$3,351.00","$3,351.00",10,$0.00,"$3,351.00",590,282,"$1,500.00","$3,351.00",11/30/2017,$109.24,1.9,0
1892,1,2,38,"$2,893.00",12,$969.55,$342.56,10,$526.23,$868.79,511,81,$500.00,$913.79,11/30/2017,$95.00,52.89,0
1893,1,2,37,"$1,573.48",9,$703.82,$538.37,10,$91.00,$629.37,584,173,$425.00,$674.37,11/30/2017,$90.00,43.41,0
1894,15,1,28,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/30/2017,$94.30,0,0
1895,15,1,53,$0.00,18,"$2,220.00",$0.00,15,$0.00,$0.00,0,0,"$2,500.00","$2,125.00",11/30/2017,$152.65,0,0
1703,70,1,32,"$3,600.00",18,$844.92,$844.92,10,$0.00,$844.92,566,310,$500.00,$844.92,12/11/2017,$56.35,6.94,0
1777,70,1,59,"$2,539.00",24,"$1,672.48","$1,672.48",10,$0.00,"$1,672.48",489,166,"$1,000.00","$1,674.68",12/20/2017,$88.41,36.39,0
1798,1,2,60,"$2,280.00",21,"$2,476.24","$1,124.71",10,"$1,098.44","$2,223.15",650,279,"$2,500.00","$2,268.15",12/11/2017,$156.00,34.87,0
1887,70,1,50,"$1,549.17",18,"$1,385.96","$1,385.96",10,$0.00,"$1,385.96",539,191,$500.00,"$1,385.96",12/4/2017,$92.43,39.12,0
1891,70,1,26,"$1,733.33",12,$541.99,$541.99,10,$0.00,$541.99,643,273,"$2,500.00",$490.75,12/4/2017,$51.24,52.67,0
1896,1,2,73,"$2,128.00",12,"$1,024.09",$816.23,10,$111.00,$927.23,538,142,$500.00,$972.23,12/1/2017,$100.00,44.45,0
1897,1,2,61,$811.00,12,"$1,242.27","$1,007.88",10,$111.00,"$1,118.88",605,203,$500.00,"$1,046.74",12/1/2017,$120.00,51.05,0
1898,1,2,67,"$1,296.00",12,"$1,024.09",$603.37,10,$323.77,$927.14,665,310,"$2,000.00",$972.82,12/1/2017,$100.00,60.65,0
1899,15,1,59,$0.00,18,"$2,220.00",$0.00,15,$0.00,$0.00,0,0,"$2,500.00","$2,022.28",12/1/2017,$152.65,0,0
1900,15,1,68,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$883.52,12/1/2017,$94.30,0,0
1901,15,1,49,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,12/1/2017,$94.30,0,1
1902,1,2,57,"$3,244.63",18,"$2,017.18","$1,036.96",10,$670.24,"$1,707.20",605,194,"$1,000.00","$1,660.87",12/1/2017,$135.00,34.33,0
1903,1,2,39,"$7,271.29",18,"$1,547.61","$1,033.53",10,$270.50,"$1,304.03",509,151,$500.00,"$1,352.82",12/1/2017,$105.00,36.51,0
1904,1,1,56,"$1,876.34",15,"$1,251.67","$1,063.65",10,$0.00,"$1,063.65",576,409,"$1,000.00","$1,111.85",12/1/2017,$100.00,4.8,0
1906,70,1,23,"$5,200.00",24,"$2,899.95","$2,899.95",10,$0.00,"$2,899.95",653,321,"$3,000.00","$2,899.95",12/7/2017,$153.30,19.48,0
1907,70,1,57,"$2,800.00",48,"$2,788.99","$2,788.99",10,$0.00,"$2,788.99",576,28,$500.00,"$2,749.42",12/1/2017,$90.92,48.11,1
1908,1,2,77,"$3,075.79",24,"$2,843.72","$1,008.45",10,"$1,592.59","$2,601.04",659,174,"$2,500.00","$2,550.17",12/2/2017,$162.00,66.7,0
1909,1,2,66,"$1,571.70",12,"$1,078.64",$749.94,10,$218.92,$968.86,547,258,$510.00,"$1,016.70",12/1/2017,$105.00,37,0
1910,70,1,62,"$2,134.00",24,"$1,408.00","$1,408.00",10,$0.00,"$1,408.00",548,225,"$1,500.00","$1,408.00",12/11/2017,$74.43,34.3,0
1911,1,2,66,"$2,127.00",18,"$1,704.13",$647.87,10,$765.42,"$1,413.29",602,168,"$1,500.00","$1,569.37",12/2/2017,$115.00,21.58,0
1912,1,2,76,"$2,536.84",24,"$2,450.25",$398.23,10,"$1,824.52","$2,222.75",623,216,"$2,000.00","$2,267.75",12/6/2017,$140.00,25.35,0
1913,15,1,40,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,12/4/2017,$94.30,0,0
1914,1,3,43,$878.00,12,$751.36,$668.91,10,$0.00,$668.91,575,167,$500.00,$713.91,12/4/2017,$75.00,35.65,0
1915,70,1,67,"$3,000.00",36,"$3,580.46","$3,580.46",10,$0.00,"$3,580.46",755,384,"$10,000.00","$3,580.46",12/4/2017,$140.47,25.03,0
1916,1,2,67,"$2,357.47",18,"$1,876.31",$508.44,10,"$1,168.44","$1,676.88",558,105,$500.00,"$1,727.44",12/4/2017,$126.00,43.86,0
1917,1,2,61,"$1,212.23",18,"$1,265.87",$711.74,10,$350.62,"$1,062.36",631,307,"$2,000.00","$1,040.56",12/4/2017,$87.00,22.44,0
1918,15,1,37,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,12/4/2017,$94.30,0,0
1919,15,1,61,$0.00,15,"$1,588.94",$0.00,15,$0.00,$0.00,0,0,"$2,500.00","$1,524.00",12/4/2017,$125.28,0,0
1920,1,3,45,"$4,766.67",12,$915.00,$826.20,10,$0.00,$826.20,602,161,"$1,500.00",$873.09,12/5/2017,$90.00,36.06,0
1921,15,1,62,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,12/4/2017,$94.30,0,0
1922,1,2,53,$891.00,15,$985.00,$557.66,10,$221.00,$778.66,514,220,$0.00,$934.99,12/4/2017,$80.00,45.57,0
1923,1,2,59,"$1,643.16",36,"$5,582.84","$3,966.37",15,$877.78,"$4,844.15",705,364,"$5,000.00","$4,869.15",12/5/2017,$240.00,33,0
1924,15,1,28,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,12/5/2017,$94.30,0,0
1925,1,2,41,$856.00,15,"$1,451.67",$522.23,10,$779.92,"$1,302.15",537,300,$500.00,"$1,347.15",12/5/2017,$115.00,27.45,0
1926,1,2,68,"$1,764.71",24,"$3,272.96","$1,978.36",10,$982.30,"$2,960.66",653,210,"$3,000.00","$3,005.66",12/15/2017,$186.00,62.58,0
1927,1,2,57,$891.00,15,"$1,251.67",$601.57,10,$518.39,"$1,119.96",658,282,"$1,000.00","$1,164.96",12/5/2017,$100.00,28.28,0
1928,1,2,68,$755.00,9,$953.37,$607.88,10,$252.17,$860.05,532,223,$500.00,$905.05,12/8/2017,$120.00,61.99,0
1929,1,1,23,"$1,131.43",9,$590.56,$502.97,10,$0.00,$502.97,0,339,$500.00,$547.97,12/5/2017,$76.00,0,0
1930,1,2,28,"$1,713.79",15,"$1,251.67","$1,008.96",10,$111.00,"$1,119.96",606,146,$500.00,"$1,164.96",12/11/2017,$100.00,58.58,0
1931,1,1,25,"$1,256.67",9,$703.82,$629.68,10,$0.00,$629.68,590,321,"$1,020.00",$674.68,12/5/2017,$90.00,46.95,0
